,yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,Age,VisitFrequency,Gender
0,0,1,0,1,0,1,1,0,1,0,0,6,61,0,0
1,1,1,0,1,1,1,1,1,1,0,0,1,51,0,0
2,0,1,1,1,1,1,0,1,1,1,0,0,62,0,0
3,1,1,0,1,1,1,1,1,0,0,1,3,69,4,0
4,0,1,0,1,1,1,1,0,0,1,0,1,49,3,1
5,1,1,0,1,0,1,1,1,0,0,0,1,55,0,1
6,1,1,1,1,0,1,0,1,1,1,0,1,56,0,0
7,1,1,0,1,1,1,1,1,0,0,0,10,23,4,0
8,0,0,0,1,1,0,0,0,1,0,1,9,58,5,1
9,1,1,0,1,1,1,0,1,1,0,0,0,32,0,0
10,0,1,0,1,0,1,1,0,0,0,1,5,53,0,0
11,1,1,0,1,1,1,0,1,1,0,1,2,28,3,1
12,0,1,0,1,0,1,1,0,0,0,0,8,65,0,1
13,1,1,0,1,0,1,0,1,1,1,0,10,54,3,1
14,0,1,0,1,0,1,0,0,1,0,0,6,67,3,1
15,1,1,0,1,0,1,1,1,0,0,0,2,51,3,1
16,1,1,0,1,1,1,1,1,0,0,0,8,34,3,0
17,1,1,0,0,1,1,0,1,0,0,0,1,31,3,1
18,0,0,0,1,1,1,1,0,1,0,1,7,47,0,0
19,1,1,0,1,1,1,0,1,1,0,1,10,37,1,1
20,1,1,0,1,1,1,0,1,1,0,1,1,41,5,0
21,1,1,0,1,0,1,1,1,1,0,0,1,36,3,1
22,1,1,1,1,1,1,1,1,1,0,1,5,23,4,0
23,1,1,1,1,0,1,0,1,1,0,0,10,50,1,0
24,1,1,0,1,0,1,1,1,0,1,0,1,39,0,0
25,1,1,0,1,1,1,1,0,1,0,0,8,35,0,0
26,1,1,0,1,1,1,1,1,0,0,1,8,20,0,1
27,0,1,0,1,1,1,0,1,0,1,0,8,34,3,0
28,0,1,0,0,0,1,0,0,0,0,0,8,55,0,1
29,1,1,0,1,0,1,1,1,0,1,0,2,24,0,0
30,1,1,0,1,1,1,1,1,0,0,0,2,44,3,1
31,0,1,0,0,0,1,1,1,0,1,0,2,40,3,0
32,1,1,0,1,1,1,1,1,0,0,0,0,55,3,1
33,0,1,0,1,1,1,1,0,0,0,1,7,37,2,1
34,1,1,0,1,0,1,1,1,0,1,0,3,48,4,1
35,0,1,0,1,1,1,1,0,0,0,1,5,54,0,0
36,1,1,0,1,0,1,1,1,0,1,0,2,38,0,0
37,0,1,0,1,1,1,1,0,0,0,1,9,49,0,0
38,0,0,0,1,1,1,1,0,0,0,1,7,35,2,0
39,0,0,0,1,1,1,0,0,1,0,1,7,55,5,1
40,1,0,0,1,0,0,0,1,1,0,0,1,31,5,1
41,1,1,0,1,0,1,1,1,0,1,0,2,57,1,1
42,1,1,1,1,0,1,1,1,0,1,0,3,69,1,1
43,1,1,0,1,0,1,0,1,0,0,0,2,37,0,0
44,0,1,0,1,1,1,1,0,0,0,1,9,60,2,1
45,1,1,1,1,1,1,1,1,1,1,1,1,36,3,1
46,0,1,0,0,0,1,0,1,0,1,0,0,54,0,1
47,1,1,0,1,0,1,0,1,1,0,0,3,66,3,1
48,1,1,0,1,0,1,1,1,0,0,0,8,32,3,0
49,1,1,0,1,1,1,1,1,0,0,0,1,67,5,1
50,0,1,1,1,1,1,0,0,1,0,1,7,42,4,0
51,1,1,0,1,1,1,1,0,0,0,0,1,26,3,0
52,1,1,0,1,1,1,0,1,1,0,0,0,58,5,0
53,0,1,0,1,0,1,0,0,1,0,1,9,48,3,1
54,1,1,0,0,0,1,1,1,0,1,0,3,54,3,0
55,0,1,0,1,0,1,1,1,0,0,0,8,62,5,1
56,0,1,0,1,1,1,1,0,0,0,1,7,52,5,0
57,0,1,0,1,1,1,1,0,0,0,0,8,53,0,1
58,1,1,0,1,0,1,1,1,0,0,0,3,47,1,1
59,1,1,0,1,1,1,1,1,0,0,0,10,26,3,0
60,1,1,0,1,1,1,0,1,0,0,0,10,29,4,0
61,1,1,0,1,1,1,1,1,0,1,0,2,24,4,1
62,1,1,0,1,0,1,1,1,0,1,0,10,25,4,0
63,0,1,0,1,1,1,0,0,1,0,0,8,54,3,1
64,1,1,0,1,1,1,1,1,0,0,0,3,23,3,0
65,0,0,0,1,0,1,0,0,1,0,1,8,34,2,0
66,0,1,0,0,0,0,0,0,1,0,0,0,47,0,1
67,1,1,1,1,1,1,1,1,1,1,1,2,22,4,1
68,0,1,0,1,0,1,1,1,0,1,0,8,47,5,1
69,1,1,0,1,0,1,1,1,0,0,0,3,56,3,1
70,0,1,0,1,0,1,1,0,0,1,0,4,55,0,1
71,1,1,0,0,0,1,1,1,0,1,0,2,56,0,0
72,0,1,0,1,0,0,0,1,1,0,0,8,56,0,0
73,0,1,0,1,1,1,1,1,0,0,0,1,37,0,0
74,1,1,0,0,0,1,1,1,0,1,0,10,50,4,0
75,0,1,0,1,1,0,0,0,1,0,1,4,40,0,1
76,1,1,0,1,0,1,1,1,0,0,0,3,61,4,1
77,0,1,0,1,0,1,0,0,1,0,0,5,55,0,1
78,1,1,1,1,1,1,0,1,1,0,0,4,45,5,0
79,1,1,0,0,0,1,1,1,0,1,0,0,42,3,1
80,0,1,0,1,1,1,0,0,0,0,1,1,52,0,1
81,0,1,0,1,0,1,1,1,0,0,0,1,58,5,0
82,0,1,0,1,0,1,1,1,0,0,0,0,48,3,1
83,1,1,0,0,0,1,1,1,0,1,0,2,58,4,1
84,0,0,0,1,1,1,0,1,1,0,0,6,18,5,1
85,1,1,0,0,0,1,1,1,0,0,0,3,68,3,0
86,1,1,0,1,1,1,1,1,1,0,1,0,49,3,0
87,0,1,0,1,1,0,0,1,1,0,0,9,50,4,0
88,1,1,0,1,0,1,0,1,1,0,0,1,43,0,0
89,1,1,1,1,0,1,1,1,1,0,0,3,67,0,1
90,1,1,0,1,0,1,1,1,0,0,0,0,40,4,0
91,1,1,0,1,1,1,1,1,0,0,1,9,35,2,1
92,0,0,0,1,1,0,0,0,1,0,1,9,42,0,0
93,0,1,0,1,0,1,1,1,0,0,0,1,41,0,0
94,1,1,0,1,1,1,1,1,0,1,0,3,32,3,1
95,1,1,0,1,1,1,0,1,0,0,0,2,21,3,0
96,0,1,0,1,1,1,1,1,0,0,0,3,56,4,0
97,0,1,0,1,1,1,0,0,0,0,0,1,27,0,1
98,0,1,0,1,1,1,0,0,1,0,0,8,48,5,0
99,1,1,0,1,0,1,1,1,0,0,0,1,32,4,1
100,0,1,0,1,1,1,1,0,0,0,0,2,50,3,1
101,1,1,0,1,1,1,0,1,1,0,0,1,42,5,0
102,1,1,1,1,1,1,1,1,1,1,1,10,35,1,1
103,1,1,1,1,0,1,1,1,0,0,0,3,57,3,0
104,1,1,0,1,0,1,0,1,0,0,0,2,68,3,1
105,0,1,0,1,0,1,0,0,1,0,0,2,51,3,0
106,1,1,0,1,1,0,0,1,1,0,1,5,42,0,0
107,0,1,0,1,0,0,0,0,0,0,0,8,44,0,0
108,1,1,0,1,0,1,1,1,0,0,0,1,57,5,0
109,0,1,0,1,1,1,1,0,0,0,0,1,56,5,0
110,0,1,1,1,0,0,0,0,0,0,0,5,57,0,0
111,1,1,0,0,0,1,0,1,1,1,0,10,33,4,0
112,0,0,0,1,1,0,0,0,1,0,1,6,63,0,1
113,1,1,0,1,0,1,0,1,1,0,0,1,55,3,1
114,0,1,0,1,1,0,0,0,1,0,0,8,39,0,0
115,0,1,0,1,0,1,1,0,0,0,0,6,65,2,1
116,1,1,1,1,1,1,1,1,0,1,0,3,47,4,0
117,1,1,0,1,0,1,1,1,0,1,0,0,37,0,0
118,0,1,0,1,1,1,1,0,0,0,1,4,22,5,1
119,0,1,0,1,1,1,1,0,0,0,0,5,51,0,1
120,1,1,0,0,0,1,1,1,0,1,0,10,24,3,0
121,1,1,1,1,1,1,1,1,1,0,0,0,49,3,0
122,1,1,0,1,0,1,0,1,1,1,0,10,55,3,0
123,0,1,0,1,0,1,1,0,0,0,1,9,48,5,1
124,1,1,0,1,1,1,1,1,0,0,0,2,24,0,0
125,0,1,0,1,0,1,0,1,1,0,0,5,47,0,1
